VIDEO,BIRD-ID,PHASE
VID_20250503_102237,NL-10,Relax
VID_20250503_104116,NL-10,Contract
VID_20250503_111239,NL-11,Relax
VID_20250503_113334,NL-11,Contract
VID_20250503_131618,BW-5,Relax
VID_20250503_133723,BW-5,Contract
VID_20250503_142645,NL-13,Relax
VID_20250503_144800,NL-13,Contract
VID_20250504_090933,NL-14,Relax
VID_20250504_093011,NL-14,Contract
VID_20250504_095103,NL-14,Contract with Calcium Chloride added
VID_20250504_102143,89528,Relax
VID_20250504_104236,89528,Contract
VID_20250505_085159,02009,Relax
VID_20250505_091306,02009,Contract
VID_20250505_101337,NL-15,Relax
VID_20250505_103419,NL-15,Contract
VID_20250505_112436,NL-16,Relax
VID_20250505_114513,NL-16,Contract
VID_20250506_090211,NL-17,Relax
VID_20250506_092253,NL-17,Contract
VID_20250506_095858,NL-19,Relax
VID_20250506_101923,NL-19,Contract
VID_20250506_123245,NL-20,Relax
VID_20250506_125332,NL-20,Contract
VID_20250506_140305,02015,Relax
VID_20250506_142322,02015,Contract
VID_20250506_145512,02019,Relax
VID_20250506_151554,02019,Contract
VID_20250507_090217,BW-8,Relax
VID_20250507_092303,BW-8,Contract
VID_20250507_103156,NL-22,Relax
VID_20250507_105235,NL-22,Contract
VID_20250507_134307,NL-24,Relax
VID_20250507_140327,NL-24,Contract
VID_20250507_144916,NL-25,Relax
VID_20250507_150956,NL-25,Contract
VID_20250507_154415,NL-26,Relax
VID_20250507_160549,NL-26,Contract
VID_20250507_165056,BW-9,Relax
VID_20250507_171136,BW-9,Contract
VID_20250508_093625,NL-27,Relax
VID_20250508_095705,NL-27,Contract
VID_20250508_104343,NL-28,Relax
VID_20250508_110418,NL-28,Contract
VID_20250508_124926,NL-29,Relax
VID_20250508_131017,NL-29,Contract
VID_20250508_141100,NL-30,Relax
VID_20250508_143159,NL-30,Contract
VID_20250508_151525,NL-31,Relax
VID_20250508_153602,NL-31,Contract
VID_20250508_161407,BW-11,Relax
